Recebido;Node;RSSI;SNR;Client ID;Bateria;Client RSSI;Mensagem
29/06/2022 09:34;300;-72;57;3027248;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 31 30 54 3a 32 35 2e 36 30 49 3a 32 35 2e 37 36 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 b9 46
29/06/2022 09:33;300;-72;57;3027504;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 32 30 54 3a 32 35 2e 35 30 49 3a 32 35 2e 36 35 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 23 cf
29/06/2022 09:32;255;-75;6;5580;80%;-;ff 00 28 12 02 19 67 00 4b 00 4e 06 00 15 cc 00 50 9a 1a 0a 06 8b bc c5 ff ff 67 76 18 ab
29/06/2022 09:32;300;-72;57;3027248;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 31 30 54 3a 32 35 2e 35 30 49 3a 32 35 2e 36 35 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 04 3f
29/06/2022 09:31;300;-72;57;3027248;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 31 30 54 3a 32 35 2e 36 30 49 3a 32 35 2e 37 36 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 b9 46
29/06/2022 09:30;300;-72;57;3027504;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 32 30 54 3a 32 35 2e 35 30 49 3a 32 35 2e 36 35 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 23 cf
29/06/2022 09:29;300;-72;57;3027504;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 32 30 54 3a 32 35 2e 35 30 49 3a 32 35 2e 36 35 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 23 cf
29/06/2022 09:28;300;-72;57;3027760;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 33 30 54 3a 32 35 2e 30 30 49 3a 32 35 2e 31 30 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 ca 26
29/06/2022 09:27;300;-72;57;3027760;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 33 30 54 3a 32 35 2e 34 30 49 3a 32 35 2e 35 34 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 ba 26
29/06/2022 09:26;300;-72;57;3027760;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 33 30 54 3a 32 35 2e 36 30 49 3a 32 35 2e 37 36 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 82 26
29/06/2022 09:25;300;-72;57;3027760;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 33 30 54 3a 32 35 2e 35 30 49 3a 32 35 2e 36 35 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 3f 5f
29/06/2022 09:24;300;-72;57;3027504;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 32 30 54 3a 32 34 2e 38 30 49 3a 32 34 2e 38 38 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 ae 7f
29/06/2022 09:23;300;-72;57;3028016;368%;-;2c 01 28 5b 45 78 74 5d 48 3a 35 39 2e 34 30 54 3a 32 35 2e 35 30 49 3a 32 35 2e 36 36 5b 49 6e 74 5d 48 3a 30 2e 30 30 54 3a 30 2e 30 30 50 3a 20 30 1d 7a
